lat_round,lon_round,count
41.719,-87.551,3
41.719,-87.539,1
41.719,-87.536,2
41.719,-87.533,1
41.72,-87.643,2
41.72,-87.621,1
41.72,-87.575,1
41.72,-87.574,1
41.72,-87.55,2
41.721,-87.665,1
41.721,-87.664,1
41.721,-87.663,2
41.721,-87.662,1
41.721,-87.66,2
41.721,-87.659,1
41.721,-87.658,1
41.721,-87.657,2
41.721,-87.656,1
41.721,-87.654,2
41.721,-87.653,1
41.721,-87.652,1
41.721,-87.651,1
41.721,-87.649,1
41.721,-87.648,1
41.721,-87.643,3
41.721,-87.64,1
41.721,-87.634,1
41.721,-87.632,1
41.721,-87.63,1
41.721,-87.629,1
41.721,-87.627,2
41.721,-87.625,3
41.721,-87.624,3
41.721,-87.621,4
41.721,-87.614,3
41.721,-87.596,1
41.721,-87.572,1
41.721,-87.567,1
41.722,-87.677,1
41.722,-87.663,1
41.722,-87.661,2
41.722,-87.66,1
41.722,-87.657,1
41.722,-87.643,1
41.722,-87.64,1
41.722,-87.632,2
41.722,-87.63,1
41.722,-87.629,1
41.722,-87.627,7
41.722,-87.626,1
41.722,-87.625,26
41.722,-87.624,4
41.722,-87.623,1
41.722,-87.622,4
41.722,-87.621,1
41.722,-87.618,1
41.722,-87.617,2
41.722,-87.616,1
41.722,-87.615,1
41.722,-87.614,2
41.722,-87.611,1
41.722,-87.609,1
41.722,-87.606,1
41.722,-87.604,1
41.722,-87.599,1
41.722,-87.591,1
41.722,-87.585,1
41.722,-87.584,5
41.722,-87.582,1
41.722,-87.581,1
41.722,-87.579,1
41.722,-87.578,1
41.722,-87.577,2
41.722,-87.575,2
41.722,-87.574,2
41.722,-87.552,1
41.722,-87.551,1
41.722,-87.538,1
41.723,-87.663,2
41.723,-87.66,2
41.723,-87.658,1
41.723,-87.655,1
41.723,-87.63,1
41.723,-87.627,1
41.723,-87.625,2
41.723,-87.624,12
41.723,-87.622,1
41.723,-87.617,1
41.723,-87.614,1
41.723,-87.569,3
41.723,-87.567,3
41.723,-87.555,1
41.723,-87.546,1
41.724,-87.653,1
41.724,-87.629,1
41.724,-87.626,1
41.724,-87.625,1
41.724,-87.611,1
41.724,-87.605,1
41.724,-87.551,1
41.725,-87.652,1
41.725,-87.642,1
41.725,-87.636,1
41.725,-87.627,1
41.725,-87.624,1
41.725,-87.614,1
41.725,-87.605,1
41.725,-87.601,2
41.725,-87.597,4
41.725,-87.595,1
41.726,-87.682,1
41.726,-87.658,2
41.726,-87.657,1
41.726,-87.626,1
41.726,-87.609,1
41.726,-87.604,1
41.726,-87.602,3
41.726,-87.593,1
41.726,-87.592,1
41.726,-87.587,1
41.726,-87.585,1
41.726,-87.577,1
41.726,-87.575,2
41.726,-87.554,1
41.726,-87.546,1
41.727,-87.66,1
41.727,-87.636,1
41.727,-87.605,2
41.727,-87.6,2
41.727,-87.588,1
41.727,-87.587,1
41.727,-87.575,2
41.727,-87.572,1
41.727,-87.551,1
41.728,-87.669,1
41.728,-87.664,1
41.728,-87.659,1
41.728,-87.657,2
41.728,-87.652,1
41.728,-87.648,1
41.728,-87.64,1
41.728,-87.636,1
41.728,-87.606,2
41.728,-87.604,1
41.728,-87.589,1
41.728,-87.585,2
41.728,-87.582,1
41.728,-87.568,1
41.728,-87.553,1
41.728,-87.551,4
41.728,-87.55,4
41.728,-87.547,1
41.729,-87.662,1
41.729,-87.649,1
41.729,-87.624,2
41.729,-87.605,1
41.729,-87.603,1
41.729,-87.601,2
41.729,-87.599,1
41.729,-87.597,2
41.729,-87.596,3
41.729,-87.595,1
41.729,-87.56,1
41.729,-87.555,1
41.729,-87.551,3
41.73,-87.663,1
41.73,-87.662,1
41.73,-87.653,1
41.73,-87.652,1
41.73,-87.639,1
41.73,-87.619,1
41.73,-87.603,2
41.73,-87.554,1
41.73,-87.553,1
41.73,-87.551,8
41.73,-87.55,1
41.73,-87.547,2
41.731,-87.648,1
41.731,-87.611,2
41.731,-87.607,1
41.731,-87.589,1
41.731,-87.587,1
41.731,-87.585,2
41.731,-87.584,1
41.731,-87.576,1
41.731,-87.55,3
41.732,-87.663,1
41.732,-87.661,1
41.732,-87.656,1
41.732,-87.653,2
41.732,-87.639,1
41.732,-87.637,2
41.732,-87.625,2
41.732,-87.622,1
41.732,-87.617,1
41.732,-87.602,1
41.732,-87.595,1
41.732,-87.588,1
41.732,-87.586,1
41.732,-87.548,1
41.733,-87.652,1
41.733,-87.637,1
41.733,-87.62,1
41.733,-87.605,2
41.733,-87.604,1
41.733,-87.59,1
41.733,-87.588,1
41.733,-87.587,1
41.733,-87.586,1
41.733,-87.585,2
41.733,-87.576,1
