Latitude,Longitude,Primary Type,Hour,Month
41.96677027,-87.690395443,ROBBERY,21,10
41.868447451,-87.642228591,ROBBERY,5,10
41.721436835,-87.595977853,ROBBERY,17,7
41.732212896,-87.653234716,ROBBERY,19,12
41.854630302,-87.67591226,ROBBERY,16,12
41.869371524,-87.659654473,ROBBERY,17,11
41.85836391,-87.666164631,ROBBERY,18,10
41.852122078,-87.679281762,ROBBERY,17,10
41.761364334,-87.657658897,ROBBERY,17,5
41.939550298,-87.727199774,ROBBERY,11,5
41.87513429,-87.735996951,ROBBERY,2,7
41.72236078,-87.625066872,ROBBERY,0,12
41.896888586,-87.628203192,ROBBERY,0,12
41.758277853,-87.62233006,ROBBERY,0,12
41.854630302,-87.67591226,ROBBERY,18,12
41.965815477,-87.666850116,ROBBERY,9,12
41.883500187,-87.627876698,ROBBERY,19,12
41.724768575,-87.597284163,ROBBERY,21,11
41.89361121,-87.753105675,ROBBERY,0,11
41.867251542,-87.639594427,ROBBERY,19,11
41.940947082,-87.754312367,ROBBERY,5,11
41.724796016,-87.59728385,ROBBERY,16,11
41.855811206,-87.724871019,ROBBERY,19,10
41.801634875,-87.616147829,ROBBERY,15,10
41.715680818,-87.643058205,THEFT,4,8
41.85384608,-87.715063469,ROBBERY,10,12
41.721325872,-87.620580034,ROBBERY,0,12
41.89181302,-87.714594628,ROBBERY,11,12
42.015924314,-87.673955594,ROBBERY,3,12
41.909633845,-87.745359528,ROBBERY,18,11
41.909386931,-87.76499445,ROBBERY,15,11
42.018498254,-87.672983233,THEFT,7,12
41.729170867,-87.551235346,THEFT,12,12
42.016509885,-87.670328495,ROBBERY,20,12
41.882381731,-87.629412971,THEFT,13,12
41.749899475,-87.663426378,ROBBERY,19,12
41.779164166,-87.644771931,THEFT,19,12
41.871115414,-87.748543449,ROBBERY,17,12
42.001064985,-87.661254473,ROBBERY,16,11
41.962396114,-87.763685295,ROBBERY,2,10
41.751061455,-87.56865926,ROBBERY,17,12
41.892934145,-87.764225794,ROBBERY,17,12
41.892241814,-87.748773155,ROBBERY,1,12
41.736269116,-87.627768243,ROBBERY,20,12
41.866929228,-87.705685649,ROBBERY,18,12
41.984943361,-87.768298999,ROBBERY,5,12
41.901871478,-87.629441384,ROBBERY,21,12
41.991065441,-87.679840271,ROBBERY,11,12
41.696190243,-87.626295112,ROBBERY,18,12
41.885384381,-87.629486511,ROBBERY,13,12
41.746985503,-87.601424167,ROBBERY,22,12
41.751168201,-87.611898084,ROBBERY,7,12
41.721347217,-87.65215149,ROBBERY,3,12
41.654059193,-87.602177105,ROBBERY,13,12
41.831169843,-87.686103499,ROBBERY,17,12
41.772797002,-87.717708406,ROBBERY,16,12
41.919062591,-87.647333823,ROBBERY,16,12
41.764151886,-87.683229302,ROBBERY,15,12
41.724807196,-87.614218825,ROBBERY,23,12
41.930966067,-87.787305049,ROBBERY,17,12
41.845787585,-87.708729343,ROBBERY,3,12
41.941000551,-87.720209774,ROBBERY,0,11
41.884507493,-87.623007111,ROBBERY,10,11
41.963457919,-87.665856194,ROBBERY,22,10
41.814665835,-87.68708773,ROBBERY,20,7
41.7550726,-87.649009634,ROBBERY,12,6
41.897895128,-87.624096605,THEFT,14,12
41.715556418,-87.6406275,THEFT,0,12
41.892538272,-87.658224771,THEFT,12,12
41.884335468,-87.619164088,THEFT,21,9
41.72359235,-87.629430824,ROBBERY,23,12
41.789057836,-87.606108761,THEFT,15,12
41.978804601,-87.659936583,THEFT,12,12
41.890013524,-87.631664996,THEFT,23,12
41.882389568,-87.626221727,THEFT,14,12
41.87766908,-87.629284766,THEFT,15,12
41.908390488,-87.634623176,THEFT,3,12
41.878053886,-87.638849697,THEFT,11,4
41.831676098,-87.616975751,ROBBERY,17,4
41.881507123,-87.627755407,THEFT,9,12
41.766247427,-87.666280449,ROBBERY,9,12
41.925597436,-87.73903947,ROBBERY,6,12
41.954095185,-87.712915425,ROBBERY,14,12
41.912798682,-87.692171834,ROBBERY,17,12
41.808782124,-87.626070778,ROBBERY,23,12
41.751438029,-87.675602996,ROBBERY,22,12
41.750224063,-87.595461605,ROBBERY,12,12
41.849606698,-87.634731047,ROBBERY,21,12
41.907529642,-87.675175088,ROBBERY,11,12
41.902705634,-87.672370411,ROBBERY,21,12
41.692833841,-87.60431945,ROBBERY,23,12
41.875717757,-87.64099364,ROBBERY,23,12
41.915648898,-87.699895721,ROBBERY,21,12
41.747724278,-87.596787474,ROBBERY,19,12
41.868037461,-87.721366388,ROBBERY,17,12
41.86823197,-87.705041423,ROBBERY,18,12
41.916900761,-87.654363672,ROBBERY,20,12
41.770464083,-87.65760007,ROBBERY,18,12
41.969046206,-87.658064717,THEFT,22,12
41.893179585,-87.634686145,THEFT,2,12
41.753123114,-87.563830192,ROBBERY,17,12
41.853633845,-87.734570978,ROBBERY,15,12
41.853633845,-87.734570978,ROBBERY,8,12
41.882381731,-87.629412971,THEFT,19,12
41.753198627,-87.651382371,ROBBERY,20,12
41.885219303,-87.669983681,ROBBERY,17,12
41.865487487,-87.772307416,ROBBERY,18,12
41.784096124,-87.724563225,ROBBERY,15,12
41.896007035,-87.631232094,THEFT,14,12
41.972359593,-87.728142793,THEFT,15,12
41.905291819,-87.731987278,ROBBERY,0,12
41.791684521,-87.670589582,ROBBERY,23,12
41.883475491,-87.627876969,THEFT,15,12
41.742710224,-87.634088181,THEFT,16,12
41.886481695,-87.755289202,THEFT,18,11
41.865819053,-87.645069093,ROBBERY,4,12
41.766056625,-87.577835759,THEFT,9,12
41.903971214,-87.648108864,ROBBERY,14,12
41.788376207,-87.619064098,THEFT,21,12
41.922786529,-87.645045119,THEFT,10,12
41.776780252,-87.693334123,ROBBERY,1,12
41.901312514,-87.671106468,ROBBERY,23,12
41.921216776,-87.767105181,ROBBERY,0,12
41.886306849,-87.714368654,ROBBERY,21,12
41.858302358,-87.713970684,ROBBERY,22,12
41.889931184,-87.713709315,ROBBERY,20,12
41.753234619,-87.64774646,ROBBERY,19,12
41.854358409,-87.728302138,ROBBERY,18,12
41.85384608,-87.715063469,ROBBERY,19,12
41.877338858,-87.704305968,ROBBERY,12,12
41.782618691,-87.702504711,ROBBERY,16,12
41.77658285,-87.688460065,ROBBERY,18,12
41.801231471,-87.674811629,ROBBERY,18,12
41.758361553,-87.574909617,ROBBERY,9,12
41.843016958,-87.61722727,THEFT,6,12
41.897895128,-87.624096605,THEFT,18,12
41.779960201,-87.632099778,ROBBERY,4,12
41.88033698,-87.629365643,THEFT,17,12
41.781954133,-87.683713146,ROBBERY,10,12
41.802661548,-87.66724893,ROBBERY,3,12
41.722725152,-87.554566354,ROBBERY,2,12
41.940630506,-87.667090395,ROBBERY,2,12
41.839755829,-87.732942542,ROBBERY,2,12
41.803947663,-87.614728298,ROBBERY,12,12
41.930393516,-87.710914444,ROBBERY,21,12
41.875038977,-87.710816598,ROBBERY,11,12
41.877072452,-87.726710971,ROBBERY,10,12
41.885619303,-87.756787976,ROBBERY,7,12
41.750112571,-87.703028287,ROBBERY,7,12
41.925423264,-87.70931282,ROBBERY,9,12
41.766943388,-87.621732196,ROBBERY,8,12
41.904828722,-87.688614808,ROBBERY,8,12
41.844716348,-87.634266771,ROBBERY,5,12
41.910117898,-87.746104545,ROBBERY,5,12
41.73524267,-87.663051117,ROBBERY,4,12
41.768382919,-87.644495002,ROBBERY,19,12
41.952128256,-87.64789108,ROBBERY,4,12
41.861562286,-87.726259215,ROBBERY,5,12
41.942198627,-87.65417621,ROBBERY,3,12
41.769295727,-87.581309548,ROBBERY,22,12
41.742546673,-87.643807518,THEFT,1,12
41.737368675,-87.552125152,ROBBERY,2,12
41.881994258,-87.629773427,THEFT,15,12
41.808052976,-87.674675749,THEFT,18,12
41.868317186,-87.697587608,ROBBERY,13,12
41.858218136,-87.643807077,ROBBERY,13,12
41.893676531,-87.635628328,THEFT,3,12
41.895383921,-87.724469836,ROBBERY,12,12
41.909650876,-87.74386414,ROBBERY,11,12
41.893748693,-87.628123871,ROBBERY,10,12
41.890029977,-87.630316951,THEFT,11,12
41.786291714,-87.664386014,THEFT,11,12
41.766655655,-87.638388243,ROBBERY,7,12
41.882167163,-87.770644905,ROBBERY,11,12
41.77999237,-87.629730953,ROBBERY,9,12
41.966226935,-87.686977587,THEFT,7,12
41.788987036,-87.74147999,THEFT,14,12
41.881582612,-87.626197575,THEFT,14,12
41.773346807,-87.586013347,ROBBERY,16,12
41.918431595,-87.690032129,THEFT,14,12
41.909371462,-87.766306125,THEFT,15,12
41.910610044,-87.669217542,ROBBERY,14,12
41.766016334,-87.663823241,ROBBERY,15,12
41.827850191,-87.704548506,ROBBERY,13,12
41.839928748,-87.732948265,ROBBERY,14,12
41.789513591,-87.655969951,ROBBERY,14,12
41.891160515,-87.759643279,ROBBERY,12,12
41.689648078,-87.62101403,ROBBERY,19,12
41.874838202,-87.720427629,ROBBERY,4,12
41.831676098,-87.616975751,ROBBERY,2,12
41.771327553,-87.663995298,ROBBERY,2,12
41.878641196,-87.772970847,ROBBERY,19,12
41.922897216,-87.64519826,ROBBERY,0,12
41.937440579,-87.713940595,ROBBERY,23,12
41.768292746,-87.686094404,ROBBERY,23,12
41.917547111,-87.759241671,ROBBERY,21,12
41.971100531,-87.667747448,THEFT,19,12
41.942742386,-87.673541288,ROBBERY,19,12
41.877016428,-87.73118757,ROBBERY,20,12
41.756107946,-87.589519207,ROBBERY,16,12
41.78641848,-87.692889934,ROBBERY,19,12
41.942247593,-87.643060515,ROBBERY,19,12
41.840798583,-87.631736858,ROBBERY,20,12
41.802075618,-87.590498872,ROBBERY,18,12
41.997819065,-87.684708198,ROBBERY,20,12
41.885481891,-87.627935689,ROBBERY,19,12
41.718137943,-87.567826294,ROBBERY,15,12
41.728263473,-87.550169307,ROBBERY,17,12
41.970043323,-87.729676071,ROBBERY,18,12
41.896888586,-87.628203192,ROBBERY,19,12
41.750700724,-87.60522257,ROBBERY,12,12
41.794670403,-87.631785431,ROBBERY,16,12
41.878800526,-87.731251606,ROBBERY,22,12
41.876121224,-87.641003973,THEFT,12,12
41.763701339,-87.700344159,ROBBERY,17,12
41.963618682,-87.715661596,ROBBERY,19,12
41.749876545,-87.682838316,THEFT,13,12
41.895897782,-87.677740745,ROBBERY,12,12
41.854649511,-87.705335883,ROBBERY,13,12
41.9017884,-87.745960471,ROBBERY,11,12
41.99256569,-87.683562332,ROBBERY,7,12
41.884636728,-87.765019218,ROBBERY,10,12
41.776364783,-87.723921441,ROBBERY,10,12
41.738280662,-87.551447254,THEFT,11,12
41.784385164,-87.650978661,ROBBERY,9,12
41.885368351,-87.635402906,ROBBERY,7,12
41.778964595,-87.703743076,ROBBERY,7,12
41.881279227,-87.698751738,ROBBERY,19,12
41.873907046,-87.725430093,THEFT,8,12
41.688377198,-87.628987416,ROBBERY,0,12
41.691439132,-87.623070247,ROBBERY,23,12
41.947020584,-87.748464138,ROBBERY,3,12
41.893257429,-87.629010757,THEFT,1,12
41.965076179,-87.734366978,ROBBERY,5,12
41.792444765,-87.62240731,ROBBERY,2,12
41.993571528,-87.682367589,ROBBERY,3,12
41.877941584,-87.728641552,ROBBERY,1,12
41.847670913,-87.706351061,ROBBERY,0,12
41.926008867,-87.692568741,ROBBERY,0,12
41.892297612,-87.744119215,ROBBERY,0,12
41.976290414,-87.905227221,THEFT,23,11
41.969046206,-87.658064717,THEFT,22,1
41.762445658,-87.67468421,ROBBERY,19,12
41.794533814,-87.631438536,THEFT,1,12
41.871809026,-87.711328922,ROBBERY,17,12
41.899192536,-87.62533113,THEFT,18,12
41.89854967,-87.759973849,ROBBERY,17,12
41.901532511,-87.763804156,ROBBERY,18,12
41.936674656,-87.680697233,ROBBERY,18,12
41.7225474,-87.568964465,ROBBERY,21,12
41.880801792,-87.625515824,ROBBERY,18,12
41.918116868,-87.652579784,ROBBERY,19,12
41.779975054,-87.630937377,ROBBERY,15,12
41.73625535,-87.62820806,ROBBERY,18,12
41.84661629,-87.683976948,ROBBERY,9,12
41.882180394,-87.768867436,ROBBERY,19,12
41.868043292,-87.624099912,ROBBERY,18,12
41.856657834,-87.684029548,ROBBERY,13,12
41.989176933,-87.7839792,ROBBERY,21,12
41.824807448,-87.617015635,ROBBERY,16,12
41.851961298,-87.691153739,ROBBERY,15,12
41.681109736,-87.642018411,ROBBERY,7,12
41.848891936,-87.685550517,ROBBERY,14,11
41.982742067,-87.656592266,ROBBERY,6,11
41.93972937,-87.706879837,ROBBERY,21,10
41.720371638,-87.643187493,ROBBERY,2,10
41.96649284,-87.721480346,ROBBERY,15,10
41.875945465,-87.699439736,ROBBERY,10,9
41.736277427,-87.62510451,ROBBERY,9,7
41.731070963,-87.611353652,ROBBERY,21,3
41.769706698,-87.585410421,ROBBERY,16,12
41.750109846,-87.680908342,ROBBERY,21,12
41.95019775,-87.653205361,ROBBERY,20,12
41.77171246,-87.654294989,THEFT,15,12
41.872369427,-87.661730519,ROBBERY,14,12
41.90844653,-87.746079452,ROBBERY,20,12
41.785582693,-87.688692554,ROBBERY,20,12
41.778871742,-87.59631384,ROBBERY,18,12
41.884154349,-87.672807697,ROBBERY,17,12
41.721942635,-87.611236062,ROBBERY,16,12
41.878931004,-87.639585621,ROBBERY,12,12
41.895792678,-87.761820315,ROBBERY,15,12
41.884772379,-87.756450388,THEFT,13,12
41.885741029,-87.631711749,THEFT,13,12
41.731168542,-87.589224482,ROBBERY,12,12
41.846991348,-87.719750256,ROBBERY,1,12
41.932012618,-87.640940116,ROBBERY,0,12
41.944760878,-87.649410913,THEFT,1,12
41.910116718,-87.677444645,ROBBERY,4,12
41.874384951,-87.627169159,ROBBERY,15,12
41.759690971,-87.584713058,ROBBERY,15,11
41.736826212,-87.545826145,ROBBERY,23,9
41.973885119,-87.657748827,ROBBERY,15,12
41.798784161,-87.599727485,ROBBERY,10,12
41.882381731,-87.629412971,THEFT,14,12
41.768760396,-87.621778099,ROBBERY,10,12
41.912877478,-87.635103292,ROBBERY,22,12
41.891404732,-87.628061509,THEFT,15,12
41.930146188,-87.713386424,ROBBERY,22,12
42.001136868,-87.661345692,ROBBERY,5,12
41.93991842,-87.653288878,THEFT,2,12
41.800483161,-87.587414531,ROBBERY,22,12
41.930393516,-87.710914444,ROBBERY,21,12
41.923800905,-87.668158441,ROBBERY,21,12
41.795830016,-87.645195004,THEFT,23,12
41.749310761,-87.564982438,ROBBERY,22,12
41.70268678,-87.526025149,ROBBERY,22,12
41.760812981,-87.644301073,ROBBERY,18,12
41.990687497,-87.679009131,ROBBERY,18,12
41.874473632,-87.710811069,THEFT,18,12
41.795257274,-87.709242208,ROBBERY,19,12
41.916649652,-87.785626747,ROBBERY,19,12
42.002818571,-87.660794522,THEFT,18,12
41.87725848,-87.712227112,ROBBERY,14,12
41.886802862,-87.644829218,ROBBERY,16,12
41.909650876,-87.74386414,THEFT,14,12
41.901367155,-87.718950781,ROBBERY,8,12
41.891671022,-87.743408786,ROBBERY,8,12
41.750472394,-87.634297122,ROBBERY,1,12
41.802059097,-87.619047858,ROBBERY,22,1
41.885426371,-87.630966024,THEFT,11,12
41.891404732,-87.628061509,THEFT,8,12
41.934046012,-87.768770513,ROBBERY,16,12
41.884276844,-87.622098929,THEFT,15,12
41.882381731,-87.629412971,THEFT,10,12
41.879235852,-87.624347038,THEFT,13,12
41.968906368,-87.708487799,THEFT,10,12
41.883475491,-87.627876969,THEFT,11,12
41.876438501,-87.649530323,ROBBERY,12,12
41.894929069,-87.755951299,ROBBERY,12,12
41.77999793,-87.629294594,ROBBERY,9,12
41.895513093,-87.710687598,ROBBERY,11,12
41.854952592,-87.706562587,ROBBERY,11,12
41.879536009,-87.681491943,ROBBERY,0,12
41.879296773,-87.741190859,ROBBERY,0,12
41.909386659,-87.764939346,THEFT,18,12
41.865468397,-87.773456688,ROBBERY,9,12
41.885741029,-87.631711749,THEFT,18,12
41.96038198,-87.774880416,ROBBERY,10,12
41.877300531,-87.708848526,ROBBERY,12,12
41.791564037,-87.673018399,ROBBERY,20,12
41.901130843,-87.768043044,ROBBERY,11,12
41.780711196,-87.670302947,ROBBERY,11,12
41.892631803,-87.618362824,THEFT,17,12
41.779202892,-87.687836204,ROBBERY,22,12
41.758957556,-87.560161301,ROBBERY,12,12
41.675294687,-87.601709868,ROBBERY,4,12
41.751270235,-87.605883115,ROBBERY,23,12
41.778660358,-87.693381423,ROBBERY,0,12
41.751457646,-87.552892516,ROBBERY,4,12
41.930393516,-87.710914444,ROBBERY,17,12
41.93065243,-87.708060133,ROBBERY,19,12
41.865300688,-87.716608853,ROBBERY,15,12
41.864268707,-87.710480544,ROBBERY,18,12
41.911163126,-87.632980111,ROBBERY,18,12
41.875588919,-87.632421308,THEFT,14,12
41.797449391,-87.645236358,ROBBERY,17,12
41.771618991,-87.577370909,ROBBERY,12,12
41.895167116,-87.684381574,ROBBERY,7,12
41.878796732,-87.731574779,ROBBERY,22,12
41.674116785,-87.620394665,ROBBERY,10,12
41.808963876,-87.674640742,ROBBERY,12,12
41.905367119,-87.726997899,THEFT,20,12
41.776448315,-87.686008743,ROBBERY,11,11
41.978823809,-87.659936381,ROBBERY,4,12
41.911162611,-87.632895617,ROBBERY,3,12
41.925502006,-87.721908914,ROBBERY,3,12
41.942535189,-87.655403988,ROBBERY,2,12
41.729618252,-87.551244573,ROBBERY,17,12
41.897895128,-87.624096605,THEFT,15,12
41.854010712,-87.724822014,ROBBERY,16,12
41.937310079,-87.666158335,ROBBERY,22,12
41.884493832,-87.627021129,THEFT,19,12
41.938688914,-87.757651733,ROBBERY,16,12
41.992379054,-87.683556873,ROBBERY,19,12
41.786814039,-87.659844801,ROBBERY,18,12
41.799580127,-87.619346782,ROBBERY,17,12
41.949837364,-87.658635101,THEFT,3,12
41.754592961,-87.741528537,THEFT,13,12
41.883210775,-87.629906972,THEFT,13,12
41.799551527,-87.588056142,ROBBERY,12,12
41.814268332,-87.634656663,ROBBERY,19,12
41.708589,-87.612583094,ROBBERY,13,12
41.750794483,-87.633560686,ROBBERY,15,12
41.703443363,-87.629401612,ROBBERY,20,11
41.907585987,-87.764294058,ROBBERY,0,12
41.79102128,-87.625202624,THEFT,21,12
41.857469102,-87.666133553,THEFT,16,12
41.911121846,-87.649810542,THEFT,12,12
41.729183264,-87.60100715,ROBBERY,22,12
41.884160519,-87.706214772,ROBBERY,13,12
41.907909766,-87.774342403,ROBBERY,23,12
41.722026569,-87.606267999,ROBBERY,17,12
41.799911401,-87.742952841,ROBBERY,19,12
41.768247438,-87.68877449,ROBBERY,23,12
41.925517635,-87.685231614,ROBBERY,21,12
41.81600695,-87.601834735,ROBBERY,21,12
41.875654715,-87.762789211,ROBBERY,20,12
41.872864089,-87.725403259,ROBBERY,19,12
41.770180713,-87.644541753,ROBBERY,16,12
41.930584046,-87.749808683,THEFT,18,12
41.793669876,-87.66370422,ROBBERY,20,12
41.892505345,-87.626304822,THEFT,17,12
41.745710267,-87.666962122,ROBBERY,18,12
41.883475491,-87.627876969,THEFT,17,12
41.87922222,-87.633758619,THEFT,18,12
41.743199209,-87.624317581,ROBBERY,15,12
41.883210775,-87.629906972,THEFT,15,12
41.960748011,-87.688665425,ROBBERY,15,12
41.883210775,-87.629906972,THEFT,15,12
41.775873548,-87.703065743,ROBBERY,14,12
41.734234372,-87.589291682,ROBBERY,12,12
41.770926484,-87.591114976,ROBBERY,7,12
41.886530554,-87.74438154,ROBBERY,6,12
41.750940418,-87.625130255,ROBBERY,3,12
41.775067754,-87.688416585,ROBBERY,1,12
41.869335009,-87.686720968,ROBBERY,3,12
41.931789485,-87.63671622,ROBBERY,1,12
41.971972119,-87.657699173,ROBBERY,1,12
41.908334743,-87.760896569,ROBBERY,14,12
41.885376793,-87.743617261,ROBBERY,23,12
41.978352839,-87.770188778,ROBBERY,5,12
41.942129663,-87.68448266,ROBBERY,1,12
41.938044817,-87.657123862,ROBBERY,0,12
41.871514627,-87.738112453,ROBBERY,5,8
41.756059048,-87.654771544,ROBBERY,22,12
41.93871642,-87.75547929,ROBBERY,0,12
41.773285044,-87.687144014,ROBBERY,18,12
41.742991296,-87.632025815,ROBBERY,19,12
41.819428461,-87.610846273,ROBBERY,19,12
41.931776952,-87.72791651,THEFT,18,12
41.883500187,-87.627876698,THEFT,17,12
41.798909243,-87.585503708,ROBBERY,22,12
41.88033698,-87.629365643,THEFT,15,12
41.823683257,-87.62870615,ROBBERY,23,12
41.923141042,-87.651108001,ROBBERY,20,12
41.932691369,-87.650719578,ROBBERY,20,12
41.790669959,-87.705924081,ROBBERY,22,12
41.931676011,-87.655816668,ROBBERY,20,12
41.925440308,-87.649657726,ROBBERY,20,12
41.911799841,-87.718270266,ROBBERY,21,12
41.923592987,-87.651426549,ROBBERY,20,12
41.91232628,-87.701008713,ROBBERY,21,12
41.938797346,-87.723377074,ROBBERY,12,12
41.890756989,-87.636133879,ROBBERY,5,12
41.777187395,-87.760044244,ROBBERY,8,12
41.878099868,-87.635570127,ROBBERY,4,12
41.727854112,-87.581741773,ROBBERY,7,12
41.910350116,-87.765540655,ROBBERY,21,12
41.91465395,-87.641609074,ROBBERY,20,12
41.885888079,-87.627942238,THEFT,12,12
41.874532185,-87.705938056,THEFT,11,12
41.886127716,-87.626301698,THEFT,2,12
41.80049811,-87.731211305,ROBBERY,7,12
41.903118141,-87.759286457,ROBBERY,9,12
41.893673853,-87.681888121,ROBBERY,10,12
41.890013524,-87.631664996,ROBBERY,4,12
41.749500563,-87.601194044,ROBBERY,7,12
41.922750548,-87.644994062,ROBBERY,3,12
41.903329888,-87.696891417,ROBBERY,2,12
41.885729451,-87.625799296,ROBBERY,2,12
41.878458449,-87.745204753,ROBBERY,1,12
41.914431379,-87.730134267,ROBBERY,1,12
41.880966228,-87.706719713,THEFT,15,12
41.8776828,-87.629284615,ROBBERY,20,12
42.01597277,-87.671408604,ROBBERY,18,3
41.87695092,-87.736512462,ROBBERY,16,12
41.895790975,-87.762029691,ROBBERY,14,12
41.80312358,-87.66647393,ROBBERY,17,12
41.885879253,-87.630979425,THEFT,16,12
41.892515537,-87.625731753,THEFT,17,12
41.968330708,-87.719797007,ROBBERY,14,12
41.721895856,-87.613841024,ROBBERY,17,12
41.87766908,-87.629284766,THEFT,13,12
41.971100531,-87.667747448,THEFT,14,12
41.757602323,-87.635689456,ROBBERY,10,12
41.883500187,-87.627876698,THEFT,12,12
41.884845855,-87.624472307,THEFT,14,12
41.72236078,-87.625066872,ROBBERY,17,12
41.762252523,-87.683175168,ROBBERY,22,12
41.905573245,-87.638419281,ROBBERY,22,12
41.750342069,-87.664499193,ROBBERY,23,12
41.924158759,-87.699399996,THEFT,23,12
41.868165405,-87.62743954,THEFT,14,12
41.76587359,-87.576294705,THEFT,14,12
41.885730068,-87.764139165,ROBBERY,14,12
41.86416762,-87.694574296,ROBBERY,12,12
41.88171846,-87.627760426,THEFT,14,12
41.899838477,-87.73188417,ROBBERY,10,12
41.905253577,-87.734647277,ROBBERY,8,12
41.73579532,-87.66275959,THEFT,7,12
41.757238398,-87.645424172,ROBBERY,4,12
41.966409353,-87.648852157,ROBBERY,0,12
41.879582441,-87.711642782,ROBBERY,0,12
41.894173733,-87.621401474,THEFT,13,12
41.764376777,-87.703401867,ROBBERY,18,12
41.74205425,-87.562438056,ROBBERY,16,12
41.721439376,-87.614131833,ROBBERY,15,8
41.738368603,-87.579387811,ROBBERY,12,2
41.909986063,-87.775246415,ROBBERY,0,12
41.910118996,-87.781744243,ROBBERY,0,12
41.88171846,-87.627760426,ROBBERY,19,12
41.803950638,-87.591878288,ROBBERY,19,12
41.774679115,-87.694498826,ROBBERY,19,12
41.862382133,-87.716857164,ROBBERY,19,12
41.930850502,-87.65219083,ROBBERY,18,12
41.891694878,-87.626155832,THEFT,15,12
41.885750123,-87.627374532,ROBBERY,18,12
41.930896787,-87.697587655,THEFT,16,12
41.93267272,-87.65173778,ROBBERY,15,12
41.895877613,-87.706566627,ROBBERY,16,12
41.857561923,-87.623925743,ROBBERY,17,12
41.796687726,-87.684110808,ROBBERY,9,12
41.890257917,-87.765215465,ROBBERY,16,12
41.887123664,-87.754163303,ROBBERY,15,12
41.933246135,-87.755271409,ROBBERY,15,12
41.881976294,-87.731379698,ROBBERY,0,12
41.895080471,-87.765400451,THEFT,15,12
41.889751946,-87.631072891,THEFT,18,12
41.777558327,-87.615558249,ROBBERY,23,12
41.922435625,-87.651082445,ROBBERY,20,12
41.856700786,-87.693147265,ROBBERY,23,12
41.769185486,-87.625732415,ROBBERY,21,12
41.808856479,-87.646464128,ROBBERY,17,12
41.869934352,-87.715841027,ROBBERY,20,12
41.871910094,-87.701689927,ROBBERY,11,12
41.851403737,-87.734232073,THEFT,13,12
41.878638996,-87.627691486,THEFT,12,12
41.892325134,-87.742532314,ROBBERY,10,12
41.71721703,-87.537699773,ROBBERY,12,12
41.750940757,-87.625185222,THEFT,6,12
41.902029438,-87.692999561,ROBBERY,3,12
41.75008623,-87.633073648,ROBBERY,17,12
41.852426595,-87.623791625,ROBBERY,22,12
41.779012821,-87.664208692,ROBBERY,20,11
41.871451066,-87.720291095,ROBBERY,10,10
41.714562078,-87.568234992,ROBBERY,20,12
41.884275586,-87.695714449,ROBBERY,11,12
41.882381731,-87.629412971,THEFT,16,12
41.90011912,-87.628296214,ROBBERY,18,12
41.854010712,-87.724822014,ROBBERY,19,12
41.796283988,-87.583975629,THEFT,20,12
41.884331884,-87.627907944,THEFT,19,12
41.88646956,-87.702413231,ROBBERY,17,12
41.727737204,-87.651893495,ROBBERY,18,12
41.769916749,-87.663954978,ROBBERY,17,12
41.7636731,-87.719928921,THEFT,14,12
41.954095822,-87.68278783,ROBBERY,13,12
